Product Name,Category,Unit Cost,Selling Price,Current Stock,Min Stock,Max Stock,Warehouse,Supplier,Reliability,Lead Time,Shipment Expected,Shipment Actual,Shipment Cost,Order Qty,Order Date,Region
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,5,2025-10-03,LATAM
Gear Set,Parts,14.0,28.0,,,,,,,,,,,2,2026-01-23,LATAM
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2026-01-20,EU
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,7,2025-12-20,US
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,3,2025-07-03,US
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,5,2025-11-15,MEA
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,5,2026-05-13,LATAM
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2025-08-03,US
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-05-17,LATAM
Gear Set,Parts,14.0,28.0,,,,,,,,,,,2,2026-05-07,US
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,6,2025-08-09,EU
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2025-06-12,EU
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2025-12-27,APAC
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2026-01-11,EU
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,1,2025-09-03,EU
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2025-12-31,EU
Conveyor Belt,Finished Goods,180.0,380.0,,,,,,,,,,,1,2025-12-31,US
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,2,2025-10-25,MEA
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,1,2026-04-20,MEA
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-02-12,APAC
Power Module,Electronics,22.0,49.99,,,,,,,,,,,2,2026-01-29,US
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,11,2026-03-21,EU
Connector Set,Parts,4.2,11.99,,,,,,,,,,,9,2025-09-08,EU
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2026-03-16,US
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,2,2026-04-25,US
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,5,2025-10-20,EU
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-10-12,US
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,7,2025-06-28,US
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,3,2026-05-02,EU
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-09-03,LATAM
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2026-02-17,APAC
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,2,2025-08-03,MEA
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,1,2026-03-11,EU
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-02-04,US
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2025-07-10,EU
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-09-25,EU
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-03-11,LATAM
Gear Set,Parts,14.0,28.0,,,,,,,,,,,2,2025-07-20,US
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,2,2025-12-14,US
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-08-06,EU
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,10,2025-08-17,MEA
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,4,2025-07-03,LATAM
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,5,2026-02-26,APAC
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,2,2026-04-19,US
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,2,2025-06-30,US
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,9,2025-10-09,APAC
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,7,2026-05-03,EU
Power Module,Electronics,22.0,49.99,,,,,,,,,,,3,2026-05-24,LATAM
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,3,2025-09-15,US
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,4,2025-09-01,EU
Connector Set,Parts,4.2,11.99,,,,,,,,,,,2,2025-08-29,LATAM
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,3,2026-04-28,LATAM
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-08-06,EU
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,5,2026-04-16,LATAM
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2026-01-26,MEA
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,3,2025-10-02,APAC
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-07-12,EU
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,1,2026-04-26,APAC
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,13,2026-04-30,US
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,4,2026-04-23,US
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2025-11-24,APAC
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,11,2025-05-25,MEA
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,25,2025-10-16,EU
Gear Set,Parts,14.0,28.0,,,,,,,,,,,3,2025-09-16,LATAM
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2026-01-13,US
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,8,2025-12-20,LATAM
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,9,2025-09-19,APAC
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-02-02,APAC
Connector Set,Parts,4.2,11.99,,,,,,,,,,,12,2025-10-21,LATAM
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,9,2025-12-29,APAC
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,2,2026-04-10,US
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,31,2026-03-15,MEA
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,4,2025-08-15,EU
Connector Set,Parts,4.2,11.99,,,,,,,,,,,2,2026-05-16,APAC
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,9,2025-05-29,APAC
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2026-03-19,EU
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,1,2026-03-01,APAC
Power Module,Electronics,22.0,49.99,,,,,,,,,,,2,2026-05-21,EU
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,1,2026-02-23,APAC
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,8,2026-04-11,APAC
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,4,2026-02-16,APAC
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,4,2026-05-23,MEA
Connector Set,Parts,4.2,11.99,,,,,,,,,,,2,2025-06-05,EU
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,3,2025-08-30,MEA
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,3,2025-12-31,EU
Gear Set,Parts,14.0,28.0,,,,,,,,,,,1,2026-01-21,US
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,2,2025-07-22,APAC
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,5,2026-03-30,LATAM
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,2,2026-03-25,LATAM
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2026-02-08,MEA
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,7,2025-10-24,EU
Gear Set,Parts,14.0,28.0,,,,,,,,,,,2,2025-12-05,APAC
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,3,2026-03-05,EU
Connector Set,Parts,4.2,11.99,,,,,,,,,,,3,2026-01-06,APAC
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,3,2026-01-02,LATAM
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,7,2025-08-08,US
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,3,2025-09-20,US
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,25,2025-06-01,US
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,5,2025-11-26,EU
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,2,2026-05-01,LATAM
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,8,2025-10-11,MEA
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,2,2026-04-16,LATAM
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,23,2025-08-19,APAC
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-07-07,LATAM
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2025-09-02,EU
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-06-29,EU
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,15,2026-01-03,US
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,12,2026-02-20,US
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,3,2026-01-16,MEA
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,4,2026-02-25,US
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,10,2025-06-18,MEA
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,3,2025-09-24,LATAM
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,29,2025-12-18,MEA
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2026-01-15,APAC
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,1,2026-02-20,APAC
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,22,2025-11-21,US
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,6,2025-09-08,US
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,4,2026-04-05,MEA
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-02-06,MEA
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,2,2025-05-30,LATAM
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,1,2025-08-28,US
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-07-18,LATAM
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,2,2025-08-13,LATAM
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,6,2025-06-04,US
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,7,2025-10-29,US
Gear Set,Parts,14.0,28.0,,,,,,,,,,,2,2026-04-13,MEA
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2026-02-16,APAC
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,3,2026-01-23,US
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,5,2026-05-11,MEA
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,3,2025-08-23,US
Conveyor Belt,Finished Goods,180.0,380.0,,,,,,,,,,,1,2025-09-20,LATAM
Connector Set,Parts,4.2,11.99,,,,,,,,,,,9,2025-09-26,US
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,2,2026-01-19,US
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,6,2026-03-15,LATAM
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,4,2025-10-23,MEA
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2026-01-19,APAC
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,2,2025-10-09,APAC
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2026-01-31,APAC
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2025-08-12,US
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,16,2025-07-28,LATAM
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,5,2025-10-23,MEA
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,14,2025-05-26,APAC
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,2,2025-10-28,LATAM
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,1,2025-08-20,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,16,2025-06-13,US
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,5,2025-06-29,MEA
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2025-07-09,LATAM
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,6,2025-07-20,US
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,2,2025-12-22,US
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,4,2026-04-07,MEA
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,4,2026-05-05,LATAM
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,4,2026-03-22,LATAM
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2025-07-05,EU
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,1,2025-09-27,US
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,3,2025-10-17,LATAM
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,5,2026-02-09,EU
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-08-15,LATAM
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,11,2025-11-07,APAC
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,1,2026-02-09,MEA
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,1,2026-03-20,MEA
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,3,2026-03-19,MEA
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,19,2026-01-28,APAC
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,2,2025-07-19,LATAM
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,3,2025-08-01,EU
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,7,2026-03-04,MEA
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,5,2026-05-12,LATAM
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-10-12,EU
Power Module,Electronics,22.0,49.99,,,,,,,,,,,5,2025-10-17,LATAM
Widget Pro,Electronics,12.5,29.99,,,,,,,,,,,6,2025-08-19,US
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2026-01-10,US
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,9,2026-04-19,APAC
Gear Set,Parts,14.0,28.0,,,,,,,,,,,1,2026-03-22,LATAM
Conveyor Belt,Finished Goods,180.0,380.0,,,,,,,,,,,1,2025-08-20,MEA
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,2,2026-02-18,LATAM
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,7,2026-03-27,EU
Power Module,Electronics,22.0,49.99,,,,,,,,,,,2,2026-04-13,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,22,2025-06-25,APAC
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,5,2026-03-04,US
Power Module,Electronics,22.0,49.99,,,,,,,,,,,4,2025-10-01,LATAM
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2026-01-09,APAC
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,3,2025-07-10,APAC
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,3,2025-10-15,US
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2026-03-12,MEA
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2026-02-13,MEA
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,13,2026-05-23,US
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,4,2025-12-23,LATAM
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,1,2026-02-17,LATAM
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2025-06-21,US
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2026-01-30,US
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,12,2026-04-06,US
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,4,2026-03-19,MEA
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,3,2025-11-08,MEA
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,1,2026-02-26,EU
Steel Sheet,Raw Materials,35.0,55.0,32,18,70,Southwest,Delta Materials,0.65,14,,,,,,
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,1,2026-02-20,LATAM
Connector Set,Parts,4.2,11.99,,,,,,,,,,,2,2026-03-09,EU
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,2,2026-01-16,LATAM
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2026-02-10,APAC
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,2,2025-07-31,EU
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,10,2026-04-20,MEA
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2026-01-25,US
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,1,2025-09-03,MEA
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,1,2026-01-24,US
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,2,2025-11-28,EU
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,1,2026-05-19,LATAM
Shrink Wrap,Packaging,6.0,14.0,,,,,,,,,,,2,2025-09-30,EU
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,4,2025-09-01,APAC
Conveyor Belt,Finished Goods,180.0,380.0,,,,,,,,,,,1,2025-08-17,APAC
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,4,2025-06-13,US
Connector Set,Parts,4.2,11.99,,,,,,,,,,,2,2026-03-20,EU
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2025-08-22,LATAM
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,3,2025-07-31,US
Circuit Board,Electronics,15.3,34.99,,,,,,,,,,,7,2025-10-13,LATAM
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,3,2025-09-30,US
Connector Set,Parts,4.2,11.99,,,,,,,,,,,8,2025-08-26,US
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2025-11-05,EU
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,6,2025-10-20,LATAM
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,2,2025-05-27,LATAM
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,2,2025-12-26,LATAM
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,2,2026-01-15,LATAM
Power Module,Electronics,22.0,49.99,,,,,,,,,,,5,2025-10-20,EU
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,4,2025-10-14,US
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,4,2026-04-19,US
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,7,2026-04-25,EU
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,4,2026-01-17,LATAM
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2025-07-10,US
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-11-24,APAC
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,2,2025-11-19,US
Rubber Sheet,Raw Materials,8.0,15.0,,,,,,,,,,,1,2026-04-13,MEA
Hydraulic Press,Finished Goods,350.0,699.0,,,,,,,,,,,1,2025-06-13,EU
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,9,2025-05-27,US
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,3,2025-11-18,APAC
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,11,2025-11-16,APAC
Pump System,Finished Goods,200.0,425.0,,,,,,,,,,,1,2026-02-07,EU
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2026-03-01,APAC
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,3,2025-10-27,APAC
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,1,2026-02-08,US
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,9,2026-02-26,MEA
Connector Set,Parts,4.2,11.99,,,,,,,,,,,9,2025-12-27,APAC
Gadget X,Electronics,45.0,89.99,,,,,,,,,,,3,2025-10-05,APAC
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,13,2026-05-07,MEA
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,2,2026-02-28,MEA
Cardboard Box L,Packaging,1.2,3.5,,,,,,,,,,,7,2025-07-30,EU
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2025-07-30,MEA
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,38,2025-06-05,MEA
Plastic Pellets,Raw Materials,5.0,12.0,,,,,,,,,,,9,2026-04-21,EU
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,5,2025-08-14,MEA
Filter Cartridge,Parts,9.5,22.0,,,,,,,,,,,4,2025-07-28,US
Micro Controller,Electronics,18.5,42.0,,,,,,,,,,,3,2026-04-10,APAC
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,2,2026-05-22,US
Sensor Kit,Electronics,8.75,19.99,,,,,,,,,,,3,2026-03-15,APAC
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-09-01,EU
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,34,2025-12-28,EU
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,18,2026-03-25,US
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,8,2025-12-21,MEA
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2025-06-27,LATAM
Power Module,Electronics,22.0,49.99,,,,,,,,,,,1,2026-01-17,MEA
Titanium Bar,Raw Materials,95.0,160.0,,,,,,,,,,,1,2026-03-03,LATAM
Gear Set,Parts,14.0,28.0,,,,,,,,,,,3,2026-03-21,US
Gasket Ring,Parts,1.8,4.99,,,,,,,,,,,9,2025-09-15,US
Bolt Pack,Parts,2.5,6.99,,,,,,,,,,,29,2025-06-21,EU
LED Panel,Electronics,30.0,65.0,,,,,,,,,,,1,2025-09-16,APAC
Control Unit,Finished Goods,85.0,175.0,,,,,,,,,,,1,2026-04-24,LATAM
Bearing Assembly,Parts,11.0,24.5,,,,,,,,,,,4,2025-09-29,APAC
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,12,2025-06-30,EU
Foam Insert,Packaging,3.5,8.0,,,,,,,,,,,6,2025-08-24,MEA
Motor Assembly,Finished Goods,120.0,249.99,,,,,,,,,,,1,2025-06-30,LATAM
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2026-02-10,LATAM
Bubble Wrap Roll,Packaging,4.0,9.99,,,,,,,,,,,7,2025-09-19,MEA
Wire Harness,Parts,7.8,18.5,,,,,,,,,,,1,2026-03-03,US
Gear Set,Parts,14.0,28.0,,,,,,,,,,,1,2026-02-05,LATAM
Packing Tape,Packaging,2.0,5.5,,,,,,,,,,,2,2026-03-12,LATAM
Aluminum Rod,Raw Materials,18.0,32.0,,,,,,,,,,,1,2026-05-09,US
Copper Wire Coil,Raw Materials,28.5,48.0,,,,,,,,,,,1,2026-01-21,MEA
Steel Sheet,Raw Materials,35.0,55.0,,,,,,,,,,,1,2025-07-03,APAC
