Product Name,Unit Cost,Selling Price,Current Stock,Category,Warehouse,Min Stock,Max Stock
Whole Bean Coffee 2lb,36.1,41.91,1991,Food & Beverage,International,18,4746
Ground Coffee Medium 5lb,7.72,10.8,1846,Food & Beverage,West Coast,8,3330
Earl Grey Tea 200ct,34.24,40.16,1156,Food & Beverage,South,25,5397
Cane Sugar 10lb,39.74,51.0,2476,Food & Beverage,Midwest,22,4207
Coffee Creamer Singles 100pk,28.79,37.44,2904,Food & Beverage,International,9,5258
Paper Cups 12oz 100pk,47.87,62.26,965,Food & Beverage,Midwest,19,4388
PLA Lids 12oz 100pk,23.13,32.51,1310,Food & Beverage,International,19,4280
Wood Stirrers 1000pk,15.51,23.01,2843,Food & Beverage,Primary,21,3274
Cocktail Napkins 500pk,46.08,54.5,425,Food & Beverage,East Coast,29,4526
Paper Plates 9in 100pk,31.49,42.68,2330,Food & Beverage,International,23,4350
Wood Cutlery Set 200pk,8.48,10.8,2755,Food & Beverage,International,30,4732
Spring Water 24pk 16oz,4.73,5.92,1309,Food & Beverage,South,17,3424
Granola Bars Variety 36pk,28.89,34.79,2005,Food & Beverage,West Coast,13,3443
Mixed Nuts 2lb Canister,46.8,59.84,1171,Food & Beverage,Midwest,24,3926
Dried Fruit Mix 3lb,46.79,69.77,2576,Food & Beverage,Primary,25,5280
Multigrain Crackers 8pk,34.28,47.31,2870,Food & Beverage,East Coast,14,3118
Creamy Peanut Butter 40oz,16.48,23.35,1421,Food & Beverage,East Coast,17,3025
Strawberry Jam 32oz,48.1,64.85,1671,Food & Beverage,International,8,3581
Chicken Noodle Soup 6pk,35.56,41.28,2202,Food & Beverage,Midwest,12,4540
Solid Light Tuna 8pk,26.04,31.38,1306,Food & Beverage,South,29,4328
Jasmine Rice 25lb,33.6,49.03,667,Food & Beverage,International,11,3203
Penne Pasta 6pk 1lb,6.32,8.25,1766,Food & Beverage,Midwest,21,4810
Extra Virgin Olive Oil 1L,16.48,23.31,496,Food & Beverage,Primary,17,4760
Balsamic Vinegar 500ml,17.01,23.6,2023,Food & Beverage,Primary,22,4263
Sea Salt & Pepper Set,13.69,20.46,254,Food & Beverage,West Coast,6,3837
Spice Rack 20-Jar,52.1,73.91,1076,Food & Beverage,Primary,15,4343
Raw Honey 32oz,2.41,3.4,749,Food & Beverage,South,10,4557
Organic Granola 2lb,39.29,52.06,2766,Food & Beverage,Midwest,17,3295
Whey Protein 5lb Chocolate,47.67,55.53,106,Food & Beverage,West Coast,20,3318
Electrolyte Mix 30pk Lemon,32.52,43.92,2936,Food & Beverage,West Coast,26,4710
Wireless Mouse Mini,367.5,564.66,92,Electronics,International,5,735
Mechanical Keyboard XL,83.88,124.8,129,Electronics,Midwest,4,801
USB-C Hub Advanced,75.39,112.95,386,Electronics,West Coast,3,613
Webcam HD V2,73.36,102.95,276,Electronics,West Coast,5,599
Bluetooth Speaker XL,656.0,969.29,422,Electronics,Primary,2,620
Portable Charger Max,234.09,285.45,83,Electronics,International,1,590
HDMI Cable Lite+,420.24,578.04,301,Electronics,South,4,848
SSD 1TB Smart,294.27,452.7,166,Electronics,Primary,2,725
RAM 16GB Module Lite+,400.78,509.44,145,Electronics,West Coast,5,528
Graphics Card RTX Advanced,71.4,95.3,24,Electronics,West Coast,1,688
CPU Processor Lite,581.98,896.8,51,Electronics,South,5,804
Motherboard ATX Compact,419.13,574.93,410,Electronics,South,1,730
Power Supply 750W V3,292.77,392.39,82,Electronics,Primary,1,730
PC Case Mid-Tower Bulk,884.24,1046.7,335,Electronics,East Coast,2,520
Monitor 27 4K Ultra,891.93,1212.69,317,Electronics,West Coast,2,686
Laptop Stand Aluminum Standard,351.74,513.47,352,Electronics,International,5,526
Noise Cancelling Headphones Bulk,63.99,76.01,352,Electronics,West Coast,4,645
Smart Watch Pro Smart,786.59,1009.47,303,Electronics,West Coast,2,679
Fitness Tracker Band Compact,120.41,172.61,48,Electronics,Midwest,3,786
Wireless Earbuds Bulk,732.8,1039.14,429,Electronics,International,5,547
Tablet 10 inch HD,460.1,532.47,163,Electronics,West Coast,2,609
E-Reader Paperwhite Lite+,176.84,274.1,84,Electronics,Primary,1,651
Smart Plug WiFi Advanced,694.93,1031.31,457,Electronics,International,5,519
WiFi Router AX Bulk,789.37,1102.92,310,Electronics,East Coast,4,578
Network Switch 8-Port V2,749.05,1092.44,419,Electronics,Midwest,2,869
External HDD 2TB Plus,372.72,529.47,126,Electronics,West Coast,4,812
Flash Drive 128GB Ultra,214.43,267.11,499,Electronics,West Coast,4,599
Memory Card 256GB Elite,886.07,1182.61,149,Electronics,South,4,757
Desk Lamp LED HD,869.81,1284.5,415,Electronics,West Coast,5,570
Phone Charger 65W Plus,578.86,868.09,288,Electronics,South,1,864
Screen Protector Glass Mini,260.13,378.55,144,Electronics,East Coast,4,762
Phone Case Silicone HD,87.08,131.86,423,Electronics,Primary,4,678
Laptop Sleeve 15in HD,52.66,71.13,125,Electronics,West Coast,4,541
Monitor Arm Single Eco,30.23,46.02,434,Electronics,East Coast,3,574
Keyboard Wrist Rest Plus,261.76,387.9,361,Electronics,International,2,888
Mouse Pad XXL Lite+,406.5,468.33,45,Electronics,East Coast,1,631
Cable Management Kit Max,496.18,714.94,275,Electronics,West Coast,4,556
Surge Protector 12-Outlet Eco,274.53,320.95,219,Electronics,Primary,5,734
UPS Battery 1500VA Mini,753.84,1017.63,279,Electronics,South,1,823
USB Microphone Elite,221.53,267.48,224,Electronics,West Coast,1,814
Ring Light 18in Eco,515.74,631.74,347,Electronics,West Coast,1,768
Green Screen 5x7ft Lite,858.3,1173.84,407,Electronics,Primary,5,783
Streaming Deck MK2 Compact,786.63,918.32,203,Electronics,International,3,629
Capture Card 4K Pro,324.6,382.06,128,Electronics,South,1,895
Drone Camera Pro Bulk,124.4,160.59,178,Electronics,International,2,898
Action Camera 4K Ultra,882.83,1184.24,98,Electronics,International,2,532
Digital Camera Mirrorless Ultra,38.1,46.89,410,Electronics,West Coast,2,521
Camera Lens 50mm Standard,466.27,720.69,283,Electronics,Primary,4,629
Tripod Carbon Fiber V3,261.07,390.26,29,Electronics,Primary,3,639
Camera Bag Backpack XL,396.07,518.86,230,Electronics,East Coast,4,673
SD Card Reader Lite+,624.4,809.81,413,Electronics,Primary,5,636
Ballpoint Pens 12pk HD,15.13,23.63,1704,Office Supplies,West Coast,9,3117
Sticky Notes 8pk Bulk,19.37,27.06,625,Office Supplies,South,13,2913
File Folders 24pk HD,30.83,45.21,935,Office Supplies,West Coast,5,3488
Printer Paper A4 5-Ream Smart,179.67,245.2,1640,Office Supplies,International,5,2153
Ink Cartridge Black XL Compact,66.03,110.97,1411,Office Supplies,East Coast,9,2063
Ink Cartridge Color Combo Smart,122.38,179.03,278,Office Supplies,International,6,2483
Desk Organizer Bamboo XL,65.82,116.48,86,Office Supplies,Midwest,8,3390
Paper Shredder Cross-Cut XL,67.59,112.05,1195,Office Supplies,West Coast,8,3084
Laminator Machine A4 Compact,57.27,78.3,1987,Office Supplies,International,7,2053
Label Maker Portable V2,90.33,129.37,1170,Office Supplies,West Coast,7,2536
Whiteboard Magnetic 48x36 Ultra,39.41,61.76,1441,Office Supplies,Primary,19,2409
Dry Erase Markers 8pk Max,153.66,226.07,1860,Office Supplies,International,18,2179
Whiteboard Eraser Bulk,120.54,195.96,1146,Office Supplies,East Coast,13,2614
Stapler Heavy-Duty V2,143.07,215.36,268,Office Supplies,East Coast,10,2284
Staples 5000pk Lite+,5.7,8.73,775,Office Supplies,East Coast,18,3129
Tape Dispenser Desktop Smart,159.28,197.42,835,Office Supplies,Midwest,19,3076
Scissors Titanium HD,148.38,184.62,669,Office Supplies,Midwest,6,2921
Paper Clips 100pk Advanced,62.67,108.22,1617,Office Supplies,East Coast,9,3572
Binder Clips Assorted 24pk HD,91.01,156.62,1722,Office Supplies,East Coast,7,3061
Rubber Bands 1lb Standard,30.47,42.46,1472,Office Supplies,South,11,2708
Envelopes White 100pk Standard,152.42,205.82,1320,Office Supplies,International,12,2256
Notebooks College-Ruled 6pk Standard,110.98,139.4,1332,Office Supplies,South,9,3212
Daily Planner 2024 Max,31.64,49.82,1867,Office Supplies,Primary,14,3154
Scientific Calculator Pro,15.54,27.49,1599,Office Supplies,East Coast,12,3333
Ruler Metal 12in Elite,75.57,119.66,1039,Office Supplies,West Coast,13,3314
3-Hole Punch Lite+,44.83,75.51,851,Office Supplies,Primary,13,2928
Letter Tray Stackable Plus,29.3,42.47,971,Office Supplies,South,10,2696
Magazine Rack Wire Max,56.95,92.89,1523,Office Supplies,East Coast,15,2816
Bulletin Board Cork 36x24 XL,93.18,117.75,515,Office Supplies,West Coast,18,2250
Push Pins Colored 100pk Ultra,45.38,57.09,614,Office Supplies,Midwest,16,3260
Correction Tape 3pk Eco,173.32,301.82,1686,Office Supplies,International,14,3183
Glue Sticks Washable 6pk Bulk,34.98,45.32,1074,Office Supplies,West Coast,18,3021
Index Cards Ruled 200pk Lite+,5.15,9.1,1055,Office Supplies,East Coast,18,2493
Graph Paper Pad 4x4 Elite,64.17,78.95,1033,Office Supplies,South,19,2585
Legal Pads Yellow 3pk Pro,152.64,222.63,1827,Office Supplies,West Coast,12,3489
Presentation Folders 25pk Compact,66.5,95.78,1187,Office Supplies,South,10,2742
Sheet Protectors 50pk Standard,14.16,21.28,1585,Office Supplies,International,12,3276
Report Covers Prong 12pk Smart,22.27,39.75,826,Office Supplies,South,15,2694
Clipboard Letter-Size XL,136.14,179.63,1062,Office Supplies,Primary,16,3024
Pen Holder Mesh Plus,7.97,12.98,1666,Office Supplies,Midwest,19,3063
Ergonomic Office Chair Max,862.55,1082.2,43,Furniture,Midwest,2,120
Electric Standing Desk Smart,1044.17,1242.32,45,Furniture,West Coast,2,172
L-Shaped Corner Desk Lite+,1148.5,1390.27,88,Furniture,South,1,153
5-Tier Bookshelf Standard,1122.57,1479.1,90,Furniture,Midwest,1,176
3-Drawer Filing Cabinet Premium,1355.05,1808.82,76,Furniture,South,1,106
Conference Table 8-seat Lite+,267.75,345.05,81,Furniture,International,2,118
Guest Chair Padded Eco,78.09,108.11,16,Furniture,Midwest,1,102
Desk Lamp Architect Bulk,606.64,742.46,28,Furniture,South,2,164
Chair Floor Mat 48x36 Lite+,1226.4,1619.77,9,Furniture,East Coast,1,166
Monitor Riser Wood Basic,478.69,621.66,69,Furniture,East Coast,2,140
Storage Cabinet Locking Ultra,1280.05,1539.51,47,Furniture,Midwest,2,178
Coat Rack Standing V3,1341.77,1588.26,40,Furniture,West Coast,1,138
Waste Basket Metal V3,977.18,1218.25,63,Furniture,International,2,171
Under-Desk Drawer Unit Premium,427.83,544.22,71,Furniture,West Coast,2,150
Computer Desk Compact Max,431.47,511.85,93,Furniture,Midwest,1,144
Gaming Chair Racing Premium,1055.12,1228.37,70,Furniture,International,2,171
Recliner Leather Premium,222.38,285.69,77,Furniture,Primary,1,131
3-Seat Sofa Fabric Advanced,343.04,401.31,14,Furniture,International,2,142
Coffee Table Glass Lite+,172.24,229.29,2,Furniture,International,1,152
Side Table Round Lite+,686.72,796.48,38,Furniture,International,2,136
TV Stand 65in Plus,1274.33,1435.96,75,Furniture,International,1,168
Shoe Rack 4-Tier Plus,1281.56,1477.02,24,Furniture,Midwest,1,150
Wardrobe Sliding-Door V2,1313.47,1823.94,39,Furniture,West Coast,1,101
6-Drawer Dresser Elite,857.8,1182.51,44,Furniture,International,2,158
Nightstand 2-Drawer Basic,750.69,1026.03,19,Furniture,East Coast,2,134
Queen Bed Frame Metal Mini,486.38,641.7,84,Furniture,Primary,2,123
Queen Memory Foam Mattress Bulk,1114.4,1415.66,98,Furniture,South,1,122
Dining Table 6-seat Oak Compact,1163.84,1460.14,13,Furniture,East Coast,2,112
Dining Chair Padded 2pk Max,686.72,948.19,2,Furniture,East Coast,2,149
Bar Stool Adjustable Ultra,1063.88,1474.76,40,Furniture,International,1,133
